업체명,식품명,기준량(g),에너지(kcal),단백질(g),지방(g),탄수화물(g),에너지밀도(kcal/g),탄수화물_에너지비율(%),단백질_에너지비율(%),지방_에너지비율(%),단백질_INQ
할리스,리소토/리조또_스파이시 씨푸드 리조또,100,148,5.81,-1.0,-1.0,1.48,-1.0,15.7,-1.0,1.43
할리스,리소토/리조또_치킨 크림 리조또,100,185,6.22,-1.0,-1.0,1.85,-1.0,13.45,-1.0,1.22
피자알볼로,리소토/리조또_베이컨크림리조또,100,173,3.71,-1.0,-1.0,1.73,-1.0,8.58,-1.0,0.78
굽네치킨,볶음밥_갈비천왕 치즈 치밥,100,208,10.97,-1.0,22.04,2.08,42.38,21.1,-1.0,1.92
교촌치킨,볶음밥_달걀듬뿍 볶음밥,100,170,5.38,-1.0,-1.0,1.7,-1.0,12.66,-1.0,1.15
교촌치킨,볶음밥_닭갈비 볶음밥,100,180,5.0,-1.0,-1.0,1.8,-1.0,11.11,-1.0,1.01
굽네치킨,볶음밥_볼케이노 치즈 치밥,100,198,12.81,-1.0,20.66,1.98,41.74,25.88,-1.0,2.35
교촌치킨,볶음밥_의성마늘 볶음밥,100,199,3.41,-1.0,-1.0,1.99,-1.0,6.85,-1.0,0.62
봉수아피자,볶음밥_낙지볶음밥,100,182,3.3,-1.0,-1.0,1.82,-1.0,7.25,-1.0,0.66
봉수아피자,볶음밥_불고기볶음밥,100,175,3.8,-1.0,-1.0,1.75,-1.0,8.69,-1.0,0.79
봉수아피자,볶음밥_새우볶음밥,100,161,2.6,-1.0,-1.0,1.61,-1.0,6.46,-1.0,0.59
피자알볼로,볶음밥_목동햄볶음밥,100,171,3.09,-1.0,-1.0,1.71,-1.0,7.23,-1.0,0.66
할리스,오므라이스_수플레 오믈렛 라이스,100,167,4.94,-1.0,-1.0,1.67,-1.0,11.83,-1.0,1.08
롯데리아,주먹밥_전주비빔라이스버거,100,201,6.03,-1.0,-1.0,2.01,-1.0,12.0,-1.0,1.09
이디야,주먹밥_까르보나라 구운주먹밥,100,211,6.0,-1.0,-1.0,2.11,-1.0,11.37,-1.0,1.03
이디야,주먹밥_매콤 로제 구운주먹밥,100,209,5.0,-1.0,-1.0,2.09,-1.0,9.57,-1.0,0.87
노모어피자,김치 볶음밥_치즈오븐김치볶음밥,100,160,8.29,6.36,16.5,1.6,41.25,20.72,35.78,1.88
