개방자치단체코드,관리번호,인허가번호,영업상태명,폐업일자,데이터갱신구분,업소명,도로명주소,소재지주소,영업상태코드,전화번호,신청일자,지정일자,지정취소일자,지정취소사유,불가일자,불가사유,음식의유형,주된음식종류,재지정일자,데이터갱신시점,최종수정시점
3150000,3150000-101-1976-04186,19760076001,영업,,I,공항뚝배기,"서울특별시 강서구 공항대로 15, 지하 1층 (공항동)",서울특별시 강서구 공항동 45-18 (지하 1층) ,01,0226623171,2008-07-09,2008-07-09,2008-07-08,지정취소,,,,,2012-11-30,2025-12-15 16:21:53,2021-04-28 16:35:56
3150000,3150000-101-1976-04242,19760076005,폐업,1996-08-12,I,신흥각,,서울특별시 강서구 화곡동 920-6 ,02,026024121,1976-02-28,1976-02-28,1996-08-12,자진폐업,,,,한식,,2025-12-15 16:21:53,2014-02-17 14:20:51
3150000,3150000-101-1979-04232,19790076035,폐업,2011-02-11,I,오미각,,서울특별시 강서구 염창동 282-20 ,02,026525106,2004-06-01,2004-07-05,2005-02-18,영업자지위승계,,,,자장면,,2025-12-15 16:21:53,2009-03-10 10:48:21
3150000,3150000-101-1979-05418,19790076013,영업,,I,외갓집,"서울특별시 강서구 우장산로16길 44, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동 997-9 (지상 1층) ,01,0226954685,2002-03-15,2002-04-12,2016-11-03,2016년 모범음식점 평가기준 미달,,,한식,"소,등심",2015-11-18,2025-12-15 16:21:53,2021-05-14 13:01:35
3150000,3150000-101-1980-05683,19800076017,폐업,2007-04-05,I,정청호제주똥돼지,,서울특별시 강서구 방화동 620-192 ,02,026646968,2002-03-15,2002-04-12,2007-04-05,폐업민원,,,,와인숙성생고기,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1980-05853,19800076072,영업,,I,피기피기,"서울특별시 강서구 까치산로 29, 1층 (화곡동, 본동 모현빌딩)",서울특별시 강서구 화곡동 98-150 외 1필지 모현빌딩 (지상 1층) ,01,0226056011,2005-06-22,2005-07-12,2017-11-24,평가기준미달,,,한식,삼겹살,2016-11-03,2025-12-15 16:21:53,2021-12-27 16:56:09
3150000,3150000-101-1980-05986,19800076045,폐업,2014-12-23,I,어바웃샤브등촌점,"서울특별시 강서구 양천로 626, 2층 (등촌동, 1동)",서울특별시 강서구 등촌동 633-7 ,02,,2005-06-22,2005-07-12,2008-07-09,지정취소,,,,된장찌게,2008-07-09,2025-12-15 16:21:53,2014-02-20 13:20:31
3150000,3150000-101-1981-03916,19810076066,폐업,2021-09-30,I,참좋은참치,"서울특별시 강서구 공항대로59길 64, 1~2층 101, 201호 (등촌동, 1동)",서울특별시 강서구 등촌동 634-2 (지상 1~2층) 101호 201호 ,02,0226453006,2003-12-01,2003-12-12,2004-10-04,영업자지위승계,,,,참치회,,2025-12-15 16:21:53,2021-09-30 16:56:09
3150000,3150000-101-1981-05498,19810076016,폐업,2025-08-12,I,궁중추어탕,"서울특별시 강서구 개화동로 565, 1층 (방화동, 2동)",서울특별시 강서구 방화동 621-24 (지상 1층) ,02,0226637332,2009-07-27,2009-07-27,2025-08-12,폐업민원처리: 202531500000131258,,,한식,추어탕,2024-12-04,2025-12-15 16:21:53,2025-08-12 15:11:04
3150000,3150000-101-1983-02680,19830076007,폐업,2017-09-29,I,공항칼국수&공항주물럭,"서울특별시 강서구 공항대로 6, 1~2층 (공항동)",서울특별시 강서구 공항동 434-2 외 3필지 (지상 1~2층) ,02,0226649748,2007-06-08,2008-07-09,2017-09-29,폐업민원처리: 201731500000684741,,,한식,버섯칼국수,2016-11-03,2025-12-15 16:21:53,2017-09-29 14:20:05
3150000,3150000-101-1983-05471,19830076138,폐업,2013-10-25,I,고구려삼계탕,"서울특별시 강서구 화곡로 307 (화곡동,(지상 2층))",서울특별시 강서구 화곡동 998-5 (지상 2층) ,02,0226944660,2009-07-27,2009-07-27,2011-10-31,기준미달,,,,삼계탕,2010-08-03,2025-12-15 16:21:53,2011-11-30 17:47:13
3150000,3150000-101-1983-06229,19830076136,영업,,I,낙원(樂源),"서울특별시 강서구 방화대로 94, 메이필드호텔 1층 (외발산동)",서울특별시 강서구 외발산동 426 메이필드호텔 ,01,0226609010,2015-11-18,2015-11-18,,,,,한식,갈비,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:17:01
3150000,3150000-101-1984-03498,19840076110,폐업,2017-10-18,I,정통삼계탕,"서울특별시 강서구 화곡로 297, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동 987-2 (지상 1층) ,02,0226961455,2007-06-08,2007-06-28,2011-10-31,기준미달,,,,삼계탕,2010-08-03,2025-12-15 16:21:53,2017-10-18 11:16:59
3150000,3150000-101-1984-03863,19840076102,폐업,2018-11-27,I,민스그릴,"서울특별시 강서구 화곡로 354-3, 호텔쎄븐 1층 (화곡동)",서울특별시 강서구 화곡동 1110-0 호텔쎄븐 (지상 1층) ,02,0226060072,2008-08-01,2008-07-09,2009-08-05,업종변경 운영(커피숍),,,,모듬회,,2025-12-15 16:21:53,2018-11-27 16:02:00
3150000,3150000-101-1984-05731,19840076022,폐업,2012-09-13,I,삼순이시골감자탕,,서울특별시 강서구 공항동 42-22 (지상 1층) ,02,0226657765,2004-06-01,2008-07-09,2012-09-07,직권폐업처리,,,,삼합,2011-10-31,2025-12-15 16:21:53,2012-09-14 09:49:08
3150000,3150000-101-1984-05843,19840076100,폐업,2015-06-30,I,한국관,서울특별시 강서구 공항대로 653-19 (염창동),서울특별시 강서구 염창동 261-8 ,02,0236640534,2002-03-15,2002-04-12,2006-01-10,영업자지위승계,,,,냉면,2004-07-05,2025-12-15 16:21:53,2010-03-09 08:44:50
3150000,3150000-101-1984-08486,19840076132,폐업,2012-02-16,I,현대회집,,서울특별시 강서구 방화동 619-7 ,02,0226620674,2009-07-27,2009-07-27,2010-08-03,기준미달,,,,광어회,2009-08-05,2025-12-15 16:21:53,2010-09-08 18:01:22
3150000,3150000-101-1985-06223,19850076096,영업,,I,임진강민물장어,"서울특별시 강서구 양천로 723, 1층 (염창동)",서울특별시 강서구 염창동 252-5 (지상 1층) ,01,0236637900,2008-08-01,2008-07-09,,,,,한식,장어,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:17:32
